source_sheet,well,sample_description_1,sample_description_2,lab_group,combined,copies_well,target,conc_copies_u_l,conc_copies_u_l_flag,inhib_lambda,inhib_e_p,dye_name_s,accepted_droplets,positives,negatives,ex_tech,ex_batch,dd_pcr,droplets,x4_or_more,notes,sample_description_3,sample_description_4,notes_2,id_lab,site_id,region,sp_code1,sp_code2,sp_code3,sp_code4,sheet_name_unbc,utm_zone,easting,northing,stream_name,species_target_form,date_time_sample,site_description_general,site_description_habitat_type,depth_sample,filter_volume_l,method_sample,method_preservation,control_blank_field,control_blank_office,control_species_present_field,comments_field,sample_ep_positives,sample_lambda_positives,qa_droplets_ok,sample_lambda_ok,sample_ep_ok,sample_inhib_status,detection_crude,detection_clean
PRIORITY SET,A05,F60503,ELU1,GROUP 5,NA,0,CHIN,0,NA,NA,NA,FAM,20045,0,20045,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60503,199171_ds_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388958,5996987,Tributary To Fraser Lake,CH SK RB BT,2025/09/26 16:23:45,Immediately upstream of control of outlet pool below Gala Bay Road culvert. right bank.,pool,0.1,2,instream,silica,FALSE,FALSE,NA,Could not sample downstream as too shallow.,17830,390,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,A06,F60503,ELU2,GROUP 5,0,0,CHIN,0,NA,NA,NA,FAM,17792,0,17792,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60503,199171_ds_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388958,5996987,Tributary To Fraser Lake,CH SK RB BT,2025/09/26 16:23:45,Immediately upstream of control of outlet pool below Gala Bay Road culvert. right bank.,pool,0.1,2,instream,silica,FALSE,FALSE,NA,Could not sample downstream as too shallow.,17830,390,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,E03,F60503,ELU1,GROUP 5,NA,5.00625789165496,RAIN,0.250312894582748,NA,NA,NA,VIC,18802,4,18798,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60503,199171_ds_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388958,5996987,Tributary To Fraser Lake,CH SK RB BT,2025/09/26 16:23:45,Immediately upstream of control of outlet pool below Gala Bay Road culvert. right bank.,pool,0.1,2,instream,silica,FALSE,FALSE,NA,Could not sample downstream as too shallow.,17830,390,TRUE,TRUE,TRUE,pass,TRUE,TRUE
PRIORITY SET,E04,F60503,ELU2,GROUP 5,9.85568314790724,4.84942525625228,RAIN,0.242471262812614,NA,NA,NA,VIC,19410,4,19406,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60503,199171_ds_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388958,5996987,Tributary To Fraser Lake,CH SK RB BT,2025/09/26 16:23:45,Immediately upstream of control of outlet pool below Gala Bay Road culvert. right bank.,pool,0.1,2,instream,silica,FALSE,FALSE,NA,Could not sample downstream as too shallow.,17830,390,TRUE,TRUE,TRUE,pass,TRUE,TRUE
PRIORITY SET,E03,F60503,ELU1,GROUP 5,NA,0,SOCK,0,NA,NA,NA,FAM,18802,0,18802,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60503,199171_ds_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388958,5996987,Tributary To Fraser Lake,CH SK RB BT,2025/09/26 16:23:45,Immediately upstream of control of outlet pool below Gala Bay Road culvert. right bank.,pool,0.1,2,instream,silica,FALSE,FALSE,NA,Could not sample downstream as too shallow.,17830,390,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,E04,F60503,ELU2,GROUP 5,0,0,SOCK,0,NA,NA,NA,FAM,19410,0,19410,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60503,199171_ds_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388958,5996987,Tributary To Fraser Lake,CH SK RB BT,2025/09/26 16:23:45,Immediately upstream of control of outlet pool below Gala Bay Road culvert. right bank.,pool,0.1,2,instream,silica,FALSE,FALSE,NA,Could not sample downstream as too shallow.,17830,390,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,B05,F60504,ELU1,GROUP 5,NA,0,BULT,0,NA,N,N,VIC,18083,0,18083,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60504,199171_us_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388927,5997005,Tributary To Fraser Lake,CH SK BT RB,2025/09/26 16:44:19,Sample collected 30m upstream of Gala Bay Rd./Culvert on the left bank.,riffle,0.1,2,instream,silica,FALSE,FALSE,NA,NA,17271,445,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,B06,F60504,ELU2,GROUP 5,0,0,BULT,0,NA,NA,NA,VIC,19271,0,19271,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60504,199171_us_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388927,5997005,Tributary To Fraser Lake,CH SK BT RB,2025/09/26 16:44:19,Sample collected 30m upstream of Gala Bay Rd./Culvert on the left bank.,riffle,0.1,2,instream,silica,FALSE,FALSE,NA,NA,17271,445,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,B05,F60504,ELU1,GROUP 5,NA,1.301225572824478,CHIN,0.0650612786412239,NA,NA,NA,FAM,18083,1,18082,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60504,199171_us_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388927,5997005,Tributary To Fraser Lake,CH SK BT RB,2025/09/26 16:44:19,Sample collected 30m upstream of Gala Bay Rd./Culvert on the left bank.,riffle,0.1,2,instream,silica,FALSE,FALSE,NA,NA,17271,445,TRUE,TRUE,TRUE,pass,TRUE,FALSE
PRIORITY SET,B06,F60504,ELU2,GROUP 5,1.301225572824478,0,CHIN,0,NA,NA,NA,FAM,19271,0,19271,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60504,199171_us_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388927,5997005,Tributary To Fraser Lake,CH SK BT RB,2025/09/26 16:44:19,Sample collected 30m upstream of Gala Bay Rd./Culvert on the left bank.,riffle,0.1,2,instream,silica,FALSE,FALSE,NA,NA,17271,445,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,F03,F60504,ELU1,GROUP 5,NA,3.718007802963261,RAIN,0.185900390148163,NA,NA,NA,VIC,18987,3,18984,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60504,199171_us_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388927,5997005,Tributary To Fraser Lake,CH SK BT RB,2025/09/26 16:44:19,Sample collected 30m upstream of Gala Bay Rd./Culvert on the left bank.,riffle,0.1,2,instream,silica,FALSE,FALSE,NA,NA,17271,445,TRUE,TRUE,TRUE,pass,TRUE,FALSE
PRIORITY SET,F04,F60504,ELU2,GROUP 5,3.718007802963261,0,RAIN,0,NA,NA,NA,VIC,18471,0,18471,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60504,199171_us_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388927,5997005,Tributary To Fraser Lake,CH SK BT RB,2025/09/26 16:44:19,Sample collected 30m upstream of Gala Bay Rd./Culvert on the left bank.,riffle,0.1,2,instream,silica,FALSE,FALSE,NA,NA,17271,445,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,F03,F60504,ELU1,GROUP 5,NA,0,SOCK,0,NA,NA,NA,FAM,18987,0,18987,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60504,199171_us_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388927,5997005,Tributary To Fraser Lake,CH SK BT RB,2025/09/26 16:44:19,Sample collected 30m upstream of Gala Bay Rd./Culvert on the left bank.,riffle,0.1,2,instream,silica,FALSE,FALSE,NA,NA,17271,445,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,F04,F60504,ELU2,GROUP 5,0,0,SOCK,0,NA,NA,NA,FAM,18471,0,18471,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f60504,199171_us_ed1,f,BT,CH,RB,SK,BT CH RB SK,10,388927,5997005,Tributary To Fraser Lake,CH SK BT RB,2025/09/26 16:44:19,Sample collected 30m upstream of Gala Bay Rd./Culvert on the left bank.,riffle,0.1,2,instream,silica,FALSE,FALSE,NA,NA,17271,445,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,G03,F61126,ELU1,GROUP 11,NA,0,BULT,0,NA,N,N,VIC,18194,0,18194,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61126,199173_ds_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398911,5996344,Tributary To Nechako River,CH CO BT RB,2025/09/26 14:27:54,Sample collected 30m downstream of culvert (Dog Creek Road). Right bank,riffle,0.1,1,instream,silica,FALSE,FALSE,NA,May have bumped bottom and may have been slightly turbid.,18372,458,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,G04,F61126,ELU2,GROUP 11,0,0,BULT,0,NA,NA,NA,VIC,17038,0,17038,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61126,199173_ds_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398911,5996344,Tributary To Nechako River,CH CO BT RB,2025/09/26 14:27:54,Sample collected 30m downstream of culvert (Dog Creek Road). Right bank,riffle,0.1,1,instream,silica,FALSE,FALSE,NA,May have bumped bottom and may have been slightly turbid.,18372,458,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,G03,F61126,ELU1,GROUP 11,NA,18.11248540878296,CHIN,0.905624270439148,NA,NA,NA,FAM,18194,14,18180,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61126,199173_ds_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398911,5996344,Tributary To Nechako River,CH CO BT RB,2025/09/26 14:27:54,Sample collected 30m downstream of culvert (Dog Creek Road). Right bank,riffle,0.1,1,instream,silica,FALSE,FALSE,NA,May have bumped bottom and may have been slightly turbid.,18372,458,TRUE,TRUE,TRUE,pass,TRUE,TRUE
PRIORITY SET,G04,F61126,ELU2,GROUP 11,40.218803882598955,22.106318473815996,CHIN,1.1053159236908,NA,NA,NA,FAM,17038,16,17022,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61126,199173_ds_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398911,5996344,Tributary To Nechako River,CH CO BT RB,2025/09/26 14:27:54,Sample collected 30m downstream of culvert (Dog Creek Road). Right bank,riffle,0.1,1,instream,silica,FALSE,FALSE,NA,May have bumped bottom and may have been slightly turbid.,18372,458,TRUE,TRUE,TRUE,pass,TRUE,TRUE
PRIORITY SET,G05,F61126,ELU1,GROUP 11,NA,1.262409090995788,COHO,0.0631204545497894,NA,NA,NA,FAM,18639,1,18638,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61126,199173_ds_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398911,5996344,Tributary To Nechako River,CH CO BT RB,2025/09/26 14:27:54,Sample collected 30m downstream of culvert (Dog Creek Road). Right bank,riffle,0.1,1,instream,silica,FALSE,FALSE,NA,May have bumped bottom and may have been slightly turbid.,18372,458,TRUE,TRUE,TRUE,pass,TRUE,FALSE
PRIORITY SET,G06,F61126,ELU2,GROUP 11,1.262409090995788,0,COHO,0,NA,NA,NA,FAM,18514,0,18514,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61126,199173_ds_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398911,5996344,Tributary To Nechako River,CH CO BT RB,2025/09/26 14:27:54,Sample collected 30m downstream of culvert (Dog Creek Road). Right bank,riffle,0.1,1,instream,silica,FALSE,FALSE,NA,May have bumped bottom and may have been slightly turbid.,18372,458,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,G05,F61126,ELU1,GROUP 11,NA,302.379970550538,RAIN,15.1189985275269,NA,NA,NA,VIC,18639,238,18401,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61126,199173_ds_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398911,5996344,Tributary To Nechako River,CH CO BT RB,2025/09/26 14:27:54,Sample collected 30m downstream of culvert (Dog Creek Road). Right bank,riffle,0.1,1,instream,silica,FALSE,FALSE,NA,May have bumped bottom and may have been slightly turbid.,18372,458,TRUE,TRUE,TRUE,pass,TRUE,TRUE
PRIORITY SET,G06,F61126,ELU2,GROUP 11,628.71156692505,326.331596374512,RAIN,16.3165798187256,NA,NA,NA,VIC,18514,255,18259,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61126,199173_ds_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398911,5996344,Tributary To Nechako River,CH CO BT RB,2025/09/26 14:27:54,Sample collected 30m downstream of culvert (Dog Creek Road). Right bank,riffle,0.1,1,instream,silica,FALSE,FALSE,NA,May have bumped bottom and may have been slightly turbid.,18372,458,TRUE,TRUE,TRUE,pass,TRUE,TRUE
PRIORITY SET,H03,F61127,ELU1,GROUP 11,NA,0,BULT,0,NA,N,N,VIC,19221,0,19221,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61127,199173_us_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398918,5996388,Tributary To Nechako River,CH CO BT RB,2025/09/26 15:01:22,Approximately 45 m upstream of culvert under dog Creek Road right bank.,riffle,0.1,1,instream,silica,FALSE,FALSE,TRUE,Fry observed where water was sampled. See downstream site for water quality information,18255,396,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,H04,F61127,ELU2,GROUP 11,0,0,BULT,0,NA,NA,NA,VIC,18963,0,18963,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61127,199173_us_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398918,5996388,Tributary To Nechako River,CH CO BT RB,2025/09/26 15:01:22,Approximately 45 m upstream of culvert under dog Creek Road right bank.,riffle,0.1,1,instream,silica,FALSE,FALSE,TRUE,Fry observed where water was sampled. See downstream site for water quality information,18255,396,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,H03,F61127,ELU1,GROUP 11,NA,0,CHIN,0,NA,NA,NA,FAM,19221,0,19221,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61127,199173_us_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398918,5996388,Tributary To Nechako River,CH CO BT RB,2025/09/26 15:01:22,Approximately 45 m upstream of culvert under dog Creek Road right bank.,riffle,0.1,1,instream,silica,FALSE,FALSE,TRUE,Fry observed where water was sampled. See downstream site for water quality information,18255,396,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,H04,F61127,ELU2,GROUP 11,0,0,CHIN,0,NA,NA,NA,FAM,18963,0,18963,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61127,199173_us_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398918,5996388,Tributary To Nechako River,CH CO BT RB,2025/09/26 15:01:22,Approximately 45 m upstream of culvert under dog Creek Road right bank.,riffle,0.1,1,instream,silica,FALSE,FALSE,TRUE,Fry observed where water was sampled. See downstream site for water quality information,18255,396,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,H05,F61127,ELU1,GROUP 11,NA,0,COHO,0,NA,NA,NA,FAM,18395,0,18395,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61127,199173_us_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398918,5996388,Tributary To Nechako River,CH CO BT RB,2025/09/26 15:01:22,Approximately 45 m upstream of culvert under dog Creek Road right bank.,riffle,0.1,1,instream,silica,FALSE,FALSE,TRUE,Fry observed where water was sampled. See downstream site for water quality information,18255,396,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,H06,F61127,ELU2,GROUP 11,0,0,COHO,0,NA,NA,NA,FAM,18103,0,18103,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61127,199173_us_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398918,5996388,Tributary To Nechako River,CH CO BT RB,2025/09/26 15:01:22,Approximately 45 m upstream of culvert under dog Creek Road right bank.,riffle,0.1,1,instream,silica,FALSE,FALSE,TRUE,Fry observed where water was sampled. See downstream site for water quality information,18255,396,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,H05,F61127,ELU1,GROUP 11,NA,664.196395874024,RAIN,33.2098197937012,NA,NA,NA,VIC,18395,512,17883,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61127,199173_us_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398918,5996388,Tributary To Nechako River,CH CO BT RB,2025/09/26 15:01:22,Approximately 45 m upstream of culvert under dog Creek Road right bank.,riffle,0.1,1,instream,silica,FALSE,FALSE,TRUE,Fry observed where water was sampled. See downstream site for water quality information,18255,396,TRUE,TRUE,TRUE,pass,TRUE,TRUE
PRIORITY SET,H06,F61127,ELU2,GROUP 11,1227.171897888184,562.97550201416,RAIN,28.148775100708,NA,NA,NA,VIC,18103,428,17675,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,f61127,199173_us_ed1,f,BT,CH,CO,RB,BT CH CO RB,10,398918,5996388,Tributary To Nechako River,CH CO BT RB,2025/09/26 15:01:22,Approximately 45 m upstream of culvert under dog Creek Road right bank.,riffle,0.1,1,instream,silica,FALSE,FALSE,TRUE,Fry observed where water was sampled. See downstream site for water quality information,18255,396,TRUE,TRUE,TRUE,pass,TRUE,TRUE
PRIORITY SET,A01,M10139,ELU1,GROUP 1,NA,0,BULT,0,NA,N,N,VIC,18021,0,18021,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,m10139,199663_ds_ed1,m,BT,GR,BB,RB,BT GR BB RB,10,515426,6094959,Tributary To Parsnip River,BT RB GR BB,2025/09/21 16:48:28,Sample collected 15m downstream of culvert right bank.  Site was chosen close to the culvert because of the wetland that was just downstream of this area - and wanted some flow.,riffle,0.1,2,instream,silica,FALSE,FALSE,NA,NA,19063,414,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,A02,M10139,ELU2,GROUP 1,0,0,BULT,0,NA,NA,NA,VIC,19026,0,19026,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,m10139,199663_ds_ed1,m,BT,GR,BB,RB,BT GR BB RB,10,515426,6094959,Tributary To Parsnip River,BT RB GR BB,2025/09/21 16:48:28,Sample collected 15m downstream of culvert right bank.  Site was chosen close to the culvert because of the wetland that was just downstream of this area - and wanted some flow.,riffle,0.1,2,instream,silica,FALSE,FALSE,NA,NA,19063,414,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,G01,M10139,ELU1,GROUP 1,NA,0,BURB,0,NA,NA,NA,FAM,16961,195,16766,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,m10139,199663_ds_ed1,m,BT,GR,BB,RB,BT GR BB RB,10,515426,6094959,Tributary To Parsnip River,BT RB GR BB,2025/09/21 16:48:28,Sample collected 15m downstream of culvert right bank.  Site was chosen close to the culvert because of the wetland that was just downstream of this area - and wanted some flow.,riffle,0.1,2,instream,silica,FALSE,FALSE,NA,NA,19063,414,TRUE,TRUE,TRUE,pass,TRUE,TRUE
PRIORITY SET,G02,M10139,ELU2,GROUP 1,0,0,BURB,0,NA,NA,NA,FAM,18016,0,18016,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,m10139,199663_ds_ed1,m,BT,GR,BB,RB,BT GR BB RB,10,515426,6094959,Tributary To Parsnip River,BT RB GR BB,2025/09/21 16:48:28,Sample collected 15m downstream of culvert right bank.  Site was chosen close to the culvert because of the wetland that was just downstream of this area - and wanted some flow.,riffle,0.1,2,instream,silica,FALSE,FALSE,NA,NA,19063,414,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,A01,M10139,ELU1,GROUP 1,NA,0,GRAY,0,NA,NA,NA,FAM,18021,0,18021,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,m10139,199663_ds_ed1,m,BT,GR,BB,RB,BT GR BB RB,10,515426,6094959,Tributary To Parsnip River,BT RB GR BB,2025/09/21 16:48:28,Sample collected 15m downstream of culvert right bank.  Site was chosen close to the culvert because of the wetland that was just downstream of this area - and wanted some flow.,riffle,0.1,2,instream,silica,FALSE,FALSE,NA,NA,19063,414,TRUE,TRUE,TRUE,pass,FALSE,FALSE
PRIORITY SET,A02,M10139,ELU2,GROUP 1,0,0,GRAY,0,NA,NA,NA,FAM,19026,0,19026,JR,17/02/2026,18/02/2026,NA,NA,NA,NA,NA,NA,m10139,199663_ds_ed1,m,BT,GR,BB,RB,BT GR BB RB,10,515426,6094959,Tributary To Parsnip River,BT RB GR BB,2025/09/21 16:48:28,Sample collected 15m downstream of culvert right bank.  Site was chosen close to the culvert because of the wetland that was just downstream of this area - and wanted some flow.,riffle,0.1,2,instream,silica,FALSE,FALSE,NA,NA,19063,414,TRUE,TRUE,TRUE,pass,FALSE,FALSE
